epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.266,1.67586,2.99303,1.55747,0.70014,0.54834,0.60295,0.30305,1.82987,2.36535,1.77156,0.000475124,0.000475124,0.000475124
2,260.785,1.77344,2.17423,1.59805,0.62986,0.54265,0.56417,0.26204,1.99536,1.95036,1.91436,0.00092006,0.00092006,0.00092006
3,382.868,1.7706,1.8986,1.59208,0.60864,0.5247,0.56048,0.27202,1.96378,2.1307,1.7664,0.00133356,0.00133356,0.00133356
4,503.357,1.74971,1.80603,1.58372,0.74857,0.62021,0.66045,0.33655,1.82916,1.69348,1.71004,0.00128753,0.00128753,0.00128753
5,624.387,1.69873,1.63036,1.53038,0.75528,0.66945,0.7045,0.38253,1.77382,1.54205,1.61077,0.00124037,0.00124037,0.00124037
6,747.477,1.62314,1.52119,1.48659,0.80458,0.68552,0.74308,0.39164,1.74584,1.46564,1.63167,0.00119322,0.00119322,0.00119322
7,868.846,1.59714,1.43442,1.45991,0.81025,0.72944,0.78689,0.4367,1.70286,1.31486,1.58152,0.00114606,0.00114606,0.00114606
8,991.766,1.55859,1.36041,1.43769,0.86572,0.74136,0.81267,0.46083,1.64775,1.21214,1.52937,0.0010989,0.0010989,0.0010989
9,1114.07,1.53529,1.32718,1.41806,0.83328,0.7225,0.79494,0.45493,1.64217,1.29847,1.53787,0.00105174,0.00105174,0.00105174
10,1237.53,1.53771,1.25195,1.41451,0.85769,0.76828,0.82941,0.49557,1.57793,1.23106,1.47964,0.00100459,0.00100459,0.00100459
11,1364.13,1.49391,1.24068,1.39115,0.88777,0.77842,0.83582,0.49134,1.57859,1.11285,1.48798,0.00095743,0.00095743,0.00095743
12,1487.84,1.48344,1.18004,1.37605,0.87517,0.78631,0.84355,0.48718,1.59955,1.11944,1.45147,0.000910273,0.000910273,0.000910273
13,1612.64,1.46258,1.14202,1.36472,0.8823,0.8151,0.8656,0.51075,1.56092,1.05379,1.45127,0.000863116,0.000863116,0.000863116
14,1735.84,1.43825,1.09186,1.34835,0.87302,0.8211,0.85161,0.50786,1.54103,1.01926,1.47613,0.000815959,0.000815959,0.000815959
15,1858.89,1.42557,1.0746,1.34652,0.88399,0.81838,0.86869,0.53251,1.50516,0.99744,1.4031,0.000768802,0.000768802,0.000768802
16,1982.58,1.41523,1.03696,1.3405,0.88607,0.84506,0.88467,0.54019,1.51841,0.95068,1.41886,0.000721645,0.000721645,0.000721645
17,2105.77,1.39065,1.00539,1.31542,0.89968,0.83707,0.88165,0.53099,1.53829,0.94991,1.43726,0.000674488,0.000674488,0.000674488
18,2228.04,1.36101,0.97953,1.30958,0.89825,0.8376,0.87737,0.54164,1.50475,0.93769,1.41516,0.000627331,0.000627331,0.000627331
19,2350.54,1.37117,0.96169,1.30594,0.92501,0.84735,0.89623,0.55989,1.48406,0.87932,1.39749,0.000580174,0.000580174,0.000580174
20,2474.82,1.35202,0.95515,1.29752,0.92412,0.84851,0.89615,0.55641,1.47363,0.87128,1.40007,0.000533017,0.000533017,0.000533017
21,2594.07,1.37738,0.84562,1.31466,0.91851,0.84975,0.89802,0.56457,1.46674,0.85741,1.38246,0.00048586,0.00048586,0.00048586
22,2710.33,1.35607,0.81099,1.29704,0.90485,0.85684,0.8998,0.57394,1.436,0.82622,1.36149,0.000438703,0.000438703,0.000438703
23,2825.57,1.33418,0.78671,1.28808,0.92871,0.87798,0.91242,0.57646,1.44555,0.80664,1.36519,0.000391546,0.000391546,0.000391546
24,2941.09,1.31271,0.75104,1.26984,0.93343,0.8731,0.91326,0.58475,1.42193,0.79404,1.36141,0.000344389,0.000344389,0.000344389
25,3056.49,1.29254,0.7354,1.25544,0.92644,0.87061,0.91373,0.58542,1.434,0.79034,1.35615,0.000297232,0.000297232,0.000297232
26,3172,1.27388,0.71428,1.24582,0.9323,0.86777,0.9143,0.59245,1.40514,0.77787,1.34286,0.000250075,0.000250075,0.000250075
27,3288.03,1.25498,0.68869,1.23048,0.93242,0.89337,0.92033,0.60129,1.38809,0.75123,1.32805,0.000202918,0.000202918,0.000202918
28,3403.93,1.24099,0.67196,1.22327,0.9477,0.86844,0.91958,0.60401,1.38736,0.75693,1.32489,0.000155761,0.000155761,0.000155761
29,3518.85,1.22736,0.6537,1.21649,0.93195,0.87603,0.92298,0.60515,1.38811,0.73547,1.32325,0.000108604,0.000108604,0.000108604
30,3634.66,1.20259,0.63777,1.20451,0.93392,0.88151,0.92415,0.6083,1.38658,0.72794,1.32325,6.1447e-05,6.1447e-05,6.1447e-05
