epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.365,4.30612,10.442,3.93371,0.58291,0.36626,0.41586,0.20027,4.25769,5.25466,3.92142,0.000475124,0.000475124,0.000475124
2,339.578,3.9683,5.35803,3.37757,0.52944,0.43326,0.44696,0.22646,4.14813,4.96514,3.78908,0.00092006,0.00092006,0.00092006
3,477.514,3.84914,4.69077,3.25867,0.58733,0.4579,0.4984,0.24383,4.07038,5.06041,3.7034,0.00133356,0.00133356,0.00133356
4,614.758,3.80215,4.38008,3.19735,0.59579,0.49654,0.53911,0.2727,3.94835,4.0548,3.55499,0.00128753,0.00128753,0.00128753
5,751.905,3.63987,3.96624,3.05263,0.63326,0.58846,0.61961,0.34519,3.61738,3.48114,3.27499,0.00124037,0.00124037,0.00124037
6,890.403,3.54281,3.72688,3.01073,0.7293,0.57252,0.64397,0.36119,3.4873,3.47721,3.19894,0.00119322,0.00119322,0.00119322
7,1027.2,3.48843,3.60012,2.95718,0.71184,0.63208,0.67267,0.37504,3.48152,3.18082,3.23495,0.00114606,0.00114606,0.00114606
8,1169.72,3.39991,3.36498,2.89942,0.7662,0.65303,0.72137,0.40673,3.45494,2.94491,3.10733,0.0010989,0.0010989,0.0010989
9,1309.67,3.38225,3.29851,2.87016,0.7403,0.63431,0.69654,0.40751,3.37131,2.95459,3.06281,0.00105174,0.00105174,0.00105174
10,1448.84,3.34561,3.10764,2.84168,0.78274,0.68506,0.75183,0.4286,3.39128,2.79227,3.09767,0.00100459,0.00100459,0.00100459
11,1589.58,3.30121,3.0546,2.80238,0.77304,0.68449,0.75286,0.45256,3.2572,2.6357,3.02796,0.00095743,0.00095743,0.00095743
12,1728.01,3.24038,2.93584,2.76292,0.78573,0.70707,0.77116,0.45496,3.29033,2.55211,2.98449,0.000910273,0.000910273,0.000910273
13,1866.26,3.22403,2.83775,2.75744,0.77083,0.71792,0.77083,0.45375,3.25429,2.54545,2.92196,0.000863116,0.000863116,0.000863116
14,2003.93,3.16859,2.72161,2.71465,0.80154,0.7329,0.78776,0.46915,3.27878,2.38939,2.96104,0.000815959,0.000815959,0.000815959
15,2141.89,3.14382,2.64291,2.70075,0.82145,0.74225,0.80164,0.47763,3.28773,2.40199,2.89681,0.000768802,0.000768802,0.000768802
16,2281.7,3.11699,2.53273,2.68548,0.86568,0.75177,0.81884,0.49232,3.23232,2.24874,2.88649,0.000721645,0.000721645,0.000721645
17,2424.33,3.07995,2.50691,2.65946,0.83839,0.76458,0.82152,0.49732,3.1756,2.22645,2.87158,0.000674488,0.000674488,0.000674488
18,2563.26,3.03829,2.43461,2.64466,0.86021,0.73779,0.81672,0.49608,3.16055,2.18501,2.87854,0.000627331,0.000627331,0.000627331
19,2701.27,3.05558,2.39184,2.63887,0.85067,0.77461,0.8384,0.50379,3.12986,2.10155,2.85376,0.000580174,0.000580174,0.000580174
20,2839.59,2.99638,2.32068,2.60938,0.87751,0.77319,0.84754,0.51554,3.14126,2.02185,2.82776,0.000533017,0.000533017,0.000533017
21,2975.44,3.00373,2.08056,2.62498,0.88209,0.77589,0.83513,0.5079,3.14026,2.03881,2.81199,0.00048586,0.00048586,0.00048586
22,3108.37,2.95056,1.97438,2.59897,0.86407,0.80721,0.85747,0.53488,3.03293,1.89479,2.74741,0.000438703,0.000438703,0.000438703
23,3241.85,2.92667,1.89995,2.5977,0.89477,0.79943,0.86459,0.54192,3.05871,1.84635,2.77072,0.000391546,0.000391546,0.000391546
24,3374.98,2.88371,1.82392,2.5472,0.90253,0.80561,0.8718,0.55346,3.00949,1.78837,2.71914,0.000344389,0.000344389,0.000344389
25,3506.45,2.85106,1.76834,2.52176,0.89334,0.80491,0.8727,0.54884,3.0194,1.75799,2.73112,0.000297232,0.000297232,0.000297232
26,3638.45,2.80699,1.70436,2.49706,0.91332,0.81062,0.87546,0.55958,2.9724,1.71394,2.71383,0.000250075,0.000250075,0.000250075
27,3770.95,2.78621,1.64598,2.49189,0.90025,0.82106,0.88158,0.56157,2.99128,1.69385,2.72879,0.000202918,0.000202918,0.000202918
28,3903.96,2.74922,1.60928,2.47075,0.905,0.8113,0.87031,0.56431,2.95829,1.71872,2.70027,0.000155761,0.000155761,0.000155761
29,4035.13,2.71805,1.56592,2.44233,0.9012,0.82001,0.87795,0.5676,2.95914,1.68306,2.69532,0.000108604,0.000108604,0.000108604
30,4168.52,2.6703,1.53767,2.42806,0.9092,0.8246,0.88403,0.57154,2.92982,1.62651,2.67895,6.1447e-05,6.1447e-05,6.1447e-05
